year,county,pct_fair_poor_health,pct_smokers,pct_obesity,food_env_index,pct_excess_drinking,pct_uninsured,prim_care_phys_rate,mental_health_prov_rate,preventable_rate,pct_children_poverty,avg_daily_pm25,pct_severe_hous_prob,severe_hous_cost_burden,pct_overcrowding,pct_freq_ment_distress,pct_freq_phys_distress,pct_diabetes,pct_food_insecure,pct_limit_access_health_food,pct_drug_overdose_mortality,median_hh_income,pct_hs_complete,pct_some_college,pct_unemployed,pct_single_parent_hous,pct_under18,pct_over65,pct_nh_black,pct_ai_an,pct_asian,pct_nh_opi,pct_hispanic,pct_nh_white,pct_female,pct_rural
2022,Alameda,16,10,24,9.1,17,5,111,692,2783.0,9,14.4,23,17,8,11,10,9,8,1,15.0,113518,89.0,77,8.8,19,20.2,14.7,10.0,1.1,33.2,0.9,22.2,30.0,50.8,0.4
2022,Alpine,20,16,30,6.6,20,9,0,357,0.0,25,8.3,20,23,4,15,14,10,13,17,0.0,64542,95.0,52,11.2,35,18.9,25.6,0.4,25.4,1.9,0.0,13.0,60.9,47.7,100.0
2022,Amador,17,14,29,8.8,23,7,60,257,2475.0,13,13.6,18,16,3,14,12,9,11,0,23.0,68141,91.0,58,9.1,22,15.1,28.0,2.6,2.3,1.7,0.3,14.9,76.8,45.7,60.4
2022,Butte,19,15,32,7.4,20,8,62,774,4754.0,19,13.8,23,19,3,15,13,10,14,6,28.0,54718,90.0,69,9.2,21,20.2,18.4,1.6,2.7,5.2,0.3,17.9,69.9,50.5,18.9
2022,Calaveras,17,15,30,8.0,22,8,46,194,2477.0,16,14.7,20,18,2,15,12,9,12,6,21.0,66329,90.0,59,7.6,24,16.9,28.9,0.9,2.0,1.8,0.3,13.3,79.5,50.1,75.4
2022,Colusa,25,14,32,7.0,19,12,28,209,4730.0,13,11.8,18,11,7,14,14,12,13,12,0.0,59422,73.0,51,16.0,19,27.0,15.4,1.1,2.9,1.6,0.6,60.4,33.8,49.1,31.7
2022,Contra Costa,16,10,24,9.1,19,6,102,381,2959.0,8,13.5,20,16,5,12,10,9,8,3,16.0,106484,90.0,72,8.9,19,22.2,16.7,8.7,1.1,18.9,0.6,26.3,41.8,51.1,0.8
2022,Del Norte,23,18,33,6.3,20,8,58,468,2595.0,23,11.6,20,16,5,16,15,11,16,14,19.0,47442,80.0,42,9.5,29,20.7,19.0,3.4,9.8,3.2,0.2,20.4,61.7,45.4,33.7
2022,El Dorado,14,12,26,8.7,23,6,79,382,2985.0,9,12.0,18,15,2,13,11,8,9,4,18.0,87792,94.0,70,8.3,15,19.6,22.8,0.9,1.4,5.0,0.2,13.3,76.7,50.3,34.7
2022,Fresno,26,14,38,7.4,16,10,69,421,3649.0,23,17.1,27,19,9,14,14,14,15,5,14.0,61401,77.0,57,11.3,27,28.1,12.8,4.6,3.1,11.5,0.3,54.1,27.9,50.1,10.8
