year,county,cluster,health_outcome_rank,health_fac_rank,length_life_rank,quality_life_rank,health_behaviors_rank,clinical_care_rank
2022,Alameda,2,10,6,8,13,5,8
2022,Alpine,1,30,43,29,38,45,43
2022,Amador,1,23,21,28,18,25,16
2022,Butte,1,29,32,42,23,35,39
2022,Calaveras,1,28,26,43,22,33,22
2022,Colusa,3,27,52,27,28,28,57
2022,Contra Costa,2,14,9,13,14,6,13
2022,Del Norte,1,51,53,51,43,58,35
2022,El Dorado,2,17,12,19,16,14,14
2022,Fresno,3,45,51,36,51,49,36
2022,Glenn,3,40,50,44,37,42,58
2022,Humboldt,1,39,28,47,24,38,38
2022,Imperial,3,33,58,31,40,47,53
2022,Inyo,1,41,24,45,42,26,30
2022,Kern,3,53,57,49,56,55,51
2022,Kings,3,32,54,26,44,56,52
2022,Lake,1,56,48,57,50,51,48
2022,Lassen,1,48,36,38,52,53,32
2022,Los Angeles,3,24,35,21,33,12,46
2022,Madera,3,37,49,32,48,44,49
2022,Marin,2,1,1,3,1,4,1
2022,Mariposa,1,31,37,35,31,39,50
2022,Mendocino,1,44,39,48,36,43,31
2022,Merced,3,38,56,34,46,48,56
2022,Modoc,1,55,47,56,53,50,54
2022,Mono,1,16,20,1,34,24,25
2022,Monterey,3,21,38,18,26,27,42
2022,Napa,2,5,15,7,4,11,18
2022,Nevada,2,20,8,25,8,17,11
2022,Orange,2,6,10,5,9,7,15
2022,Placer,2,4,4,6,2,8,2
2022,Plumas,1,54,29,54,54,32,34
2022,Riverside,3,25,33,22,30,22,45
2022,Sacramento,1,26,23,24,25,23,20
2022,San Benito,2,18,22,17,21,19,29
2022,San Bernardino,3,43,45,39,49,29,55
2022,San Diego,2,15,16,12,17,9,23
2022,San Francisco,2,7,5,11,6,3,4
2022,San Joaquin,3,42,44,40,47,34,33
2022,San Luis Obispo,2,13,7,16,10,18,5
2022,San Mateo,2,2,2,2,3,2,3
2022,Santa Barbara,2,19,18,20,20,20,17
2022,Santa Clara,2,3,3,4,5,1,7
2022,Santa Cruz,2,11,14,14,11,15,6
2022,Shasta,1,46,27,52,29,41,21
2022,Sierra,1,50,31,29,58,37,44
2022,Siskiyou,1,57,34,55,57,46,27
2022,Solano,2,22,19,23,19,21,19
2022,Sonoma,2,8,11,15,7,13,12
2022,Stanislaus,3,36,42,41,35,36,37
2022,Sutter,1,35,30,37,39,30,24
2022,Tehama,1,52,46,53,45,57,41
2022,Trinity,1,58,41,58,32,52,28
2022,Tulare,3,47,55,33,55,54,40
2022,Tuolumne,1,34,25,46,27,31,10
2022,Ventura,2,9,17,9,12,10,26
2022,Yolo,2,12,13,10,15,16,9
2022,Yuba,3,49,40,50,41,40,47
2021,Alameda,2,14,6,6,18,5,8
2021,Alpine,3,32,44,44,44,43,40
2021,Amador,3,24,20,20,20,31,15
2021,Butte,3,35,30,30,28,41,39
2021,Calaveras,3,28,27,27,17,32,22
2021,Colusa,1,29,48,48,31,36,57
2021,Contra Costa,2,15,7,7,16,7,12
2021,Del Norte,1,50,52,52,37,58,32
2021,El Dorado,2,11,10,10,11,17,13
2021,Fresno,1,46,51,51,52,40,38
2021,Glenn,1,44,49,49,46,44,58
2021,Humboldt,3,45,29,29,29,34,35
2021,Imperial,1,27,58,58,35,46,51
2021,Inyo,3,42,22,22,39,33,18
2021,Kern,1,53,56,56,57,47,52
2021,Kings,1,33,53,53,42,54,50
2021,Lake,3,57,47,47,48,50,53
2021,Lassen,3,48,42,42,56,57,29
2021,Los Angeles,1,22,31,31,32,11,47
2021,Madera,1,36,55,55,43,52,49
2021,Marin,2,1,1,1,1,2,1
2021,Mariposa,3,30,28,28,25,27,42
2021,Mendocino,3,41,36,36,38,42,37
2021,Merced,1,38,54,54,50,45,54
2021,Modoc,3,55,50,50,49,48,48
2021,Mono,3,19,17,17,41,26,26
2021,Monterey,1,20,35,35,24,20,44
2021,Napa,2,5,14,14,4,14,16
2021,Nevada,2,17,8,8,5,15,9
2021,Orange,2,6,9,9,10,4,17
2021,Placer,2,3,2,2,2,6,2
2021,Plumas,3,54,33,33,55,29,33
2021,Riverside,1,25,32,32,30,19,45
2021,Sacramento,3,26,24,24,27,24,21
2021,San Benito,1,21,25,25,22,23,31
2021,San Bernardino,1,43,40,40,51,28,55
2021,San Diego,2,13,18,18,15,13,27
2021,San Francisco,2,7,5,5,7,8,4
2021,San Joaquin,1,39,43,43,47,30,34
2021,San Luis Obispo,2,16,12,12,13,21,7
2021,San Mateo,2,2,3,3,3,3,3
2021,Santa Barbara,2,18,19,19,21,18,20
2021,Santa Clara,2,4,4,4,8,1,5
2021,Santa Cruz,2,9,15,15,9,10,6
2021,Shasta,3,49,26,26,26,39,19
2021,Sierra,3,40,34,34,53,25,36
2021,Siskiyou,3,56,37,37,58,53,25
2021,Solano,2,23,21,21,19,22,23
2021,Sonoma,2,8,11,11,6,16,14
2021,Stanislaus,1,34,39,39,34,35,41
2021,Sutter,1,37,38,38,45,38,30
2021,Tehama,1,51,46,46,33,56,43
2021,Trinity,3,58,41,41,36,49,28
2021,Tulare,1,47,57,57,54,55,46
2021,Tuolumne,3,31,23,23,23,37,10
2021,Ventura,2,12,16,16,14,9,24
2021,Yolo,2,10,13,13,12,12,11
2021,Yuba,1,52,45,45,40,51,56
